question,tag,shopid,brand,cid3,sku,answer,cat1,cat2,profession,source
是不是得自己联系安装,安装,,海尔,洗衣机,,如果是送的时候师傅只负责送货，不负责安装的，您可以联系海尔全国统一服务热线4006999999预约安装，专业安装工程师会在24H内上门为您服务的,,,,silicon_valley
显示什么时候到就什么时候到是吧,显示,,海尔,洗衣机,,以预计送达时间为准哦,,,,silicon_valley
我们等的已经够久了,Other,,海尔,洗衣机,,亲亲非常能理解您的心情的,,,,silicon_valley
别到时候又说货到了安装不了,说货,,海尔,洗衣机,,那不会的呢,,,,silicon_valley
进水管有加长的吗,进水,,海尔,洗衣机,,可以联系售后加长的哦,,,,silicon_valley
上门安装吗,安装费用,,海尔,洗衣机,,首次安装是免人工费的,,,,silicon_valley
售后怎样,售后,,海尔,洗衣机,,电话可上门的哦,,,,silicon_valley
保价需要交钱吗,保价,,海尔,洗衣机,,不要的哦,,,,silicon_valley
有发票是吧,发票,,海尔,洗衣机,,电子发票哦,,,,silicon_valley
想问一下 送到农村会送到家吗,送到,,海尔,洗衣机,,亲亲，您可以下单就是可以送到的呢,,,,silicon_valley
水龙头上接的那种,水龙头接,,海尔,洗衣机,,只要是四分卡口的金属水龙头就可以,,,,silicon_valley
app控制什么意思,控制,,海尔,洗衣机,,可以手机控制洗衣程序,,,,silicon_valley
送来不安装吗,安装,,海尔,洗衣机,,需要预约售后安装的哦,,,,silicon_valley
上排水还是下,上排水,,海尔,洗衣机,,波轮的都是下排水的,,,,silicon_valley
五楼 楼梯 上不上,楼楼梯,,海尔,洗衣机,,可以送上楼的哦,,,,silicon_valley
噪音大吗,噪音,,海尔,洗衣机,,洗涤静音效果很好的哦,,,,silicon_valley
电源线有多长,电源,,海尔,洗衣机,,1.5米哦,,,,silicon_valley
你们是自营的吗,自营,,海尔,洗衣机,,是自营的,,,,silicon_valley
能连wifi,wifi,,海尔,洗衣机,,如果要连接WIFI，?使用APP或者微信操控洗衣机?，?需要您先关注我们的微信号“海尔智能洗衣机”（见二维码），然后点击公众号右下角“建议帮助”——&gt;“帮助”获取帮助指引“怎么样下载APP？”下载APP，按照APP中的指引配置洗衣机链接路由器。,,,,silicon_valley
抢不到就没有吗 还是只要预约了就有,抢不到,,海尔,洗衣机,,亲抢购时间内只要不是无货都是可以抢购到的，抢购的人比较多建议早点下单,,,,silicon_valley
能洗几件衣服,洗衣服,,海尔,洗衣机,,约16件轻薄夏装   约7件中厚春秋装   约3件厚重冬装,,,,silicon_valley
咨询客服有惊喜m,客服m,,海尔,洗衣机,,亲亲晒单送您一年延长保修服务的,,,,silicon_valley
我要开发票,发票,,海尔,洗衣机,,发票类型 电子发票  发票抬头 个人 发票内容 明细,,,,silicon_valley
洗衣机 怎么使用的哦,使用,,海尔,洗衣机,,通电，选择混合洗，启动即可,,,,silicon_valley
海尔水龙头多少钱,水龙头买,,海尔,洗衣机,,质量不同价格不同哦,,,,silicon_valley
我想4月份送货 可以吗,送货,,海尔,洗衣机,,亲亲不行的哦,,,,silicon_valley
免费的吗,免费,,海尔,洗衣机,,质保期内质量问题不收费,,,,silicon_valley
进水管跟排水管能配长一点的吗,Other,,海尔,洗衣机,,可以在售后购买加长的哦,,,,silicon_valley
买那个全保修5年就是质保8年,买全,,海尔,洗衣机,,那个是京东延保,,,,silicon_valley
自己安装也可以吧,安装,,海尔,洗衣机,,建议联系售后安装的哦,,,,silicon_valley
已经预约了,预约,,海尔,洗衣机,,预约成功后准时抢购的呢,,,,silicon_valley
有运费险吗,运费,,海尔,洗衣机,,亲亲没有运费的哦,,,,silicon_valley
有几款颜色,款颜色,,海尔,洗衣机,,一款一个颜色,,,,silicon_valley
我等电话,电话,,海尔,洗衣机,,您保持电话畅通呢,,,,silicon_valley
还是要预约,预约,,海尔,洗衣机,,需要预约的,,,,silicon_valley
我想问下我购买的洗衣机是上门免费安装的吗,洗衣机免费,,西门子,洗衣机,,3年内免费安装1次，用到额外配件会按照标准收费的呢~,,,,silicon_valley
你好请问洗衣机安装的话是全国都可以安装吗,洗衣机免费,,西门子,洗衣机,,3年内免费安装1次，用到额外配件会按照标准收费的呢~,,,,silicon_valley
负责安装吗后续还有什么费用吗,洗衣机免费,,西门子,洗衣机,,3年内免费安装1次，用到额外配件会按照标准收费的呢~,,,,silicon_valley
运费送货上楼等都是免费的吧,洗衣机免费,,西门子,洗衣机,,3年内免费安装1次，用到额外配件会按照标准收费的呢~,,,,silicon_valley
上门安装,洗衣机免费,,西门子,洗衣机,,3年内免费安装1次，用到额外配件会按照标准收费的呢~,,,,silicon_valley
安装免费吧,洗衣机免费,,西门子,洗衣机,,3年内免费安装1次，用到额外配件会按照标准收费的呢~,,,,silicon_valley
能洗毛毯吗,洗被子,,西门子,洗衣机,,1:需要看是否可以放进去?，放进去后要留出3分之一的空间  2:是否支持机洗?，如果符合的话，您选择程序运行就好呢,,,,silicon_valley
那安装呢 是到货了就要安装 还是安装的时间自己定,安装费用,,西门子,洗衣机,,4008855888博世售后,,,,silicon_valley
免费安装是吗,安装费用,,西门子,洗衣机,,3年内首次安装免费，用到额外配件会按照标准收费的呢~,,,,silicon_valley
中间层是中间层是是软,Other,,西门子,洗衣机,,[ 中间室是冻鲜室 ]：温度在-6度~-10度之间,,,,silicon_valley
换门方向收费吗,方向收费,,西门子,洗衣机,,1年内首次换门方向是不收费的。,,,,silicon_valley
那排水管是多长呢,排水管,,西门子,洗衣机,,1.2米左右,,,,silicon_valley
不会截图,截图e-s04,,西门子,洗衣机,,#E-s02#E-s02,,,,silicon_valley
凌晨开始吗,开始,,西门子,洗衣机,,0点开始,,,,silicon_valley
可以延迟发货吗,发货,,西门子,洗衣机,,一般延迟一个月左右订单中选择配送时间，超过的物流信息需要在线咨询，请您直接点击：http://chat2.jd.com/jdchat/custom.action?entry=jd_fwztc咨询京东在线客服；手机端点击底部我的→客户服务→在线客服，打开就可以联系到京东客服。,,,,silicon_valley
就一个色,颜色,,西门子,洗衣机,,一个型号就对应一个颜色的哦，没有其他颜色的。,,,,silicon_valley
没别的颜色吗只有白色,颜色,,西门子,洗衣机,,一个型号就对应一个颜色的哦，没有其他颜色的。,,,,silicon_valley
是不是水韵纹洗的比较干净有灰色嘛,颜色,,西门子,洗衣机,,一个型号就对应一个颜色的哦，没有其他颜色的。,,,,silicon_valley
可以下周末送货吗,送货,,西门子,洗衣机,,一般下单后会有个送货时间供您选择的哦，大概一个月左右，超过时间要联系京东咨询400-606-5500,,,,silicon_valley
拍了可以延迟发货吗,晚一点送货,,西门子,洗衣机,,一般下单后会有个40天之内的送货时间供您选择的哦,,,,silicon_valley
只有白色吗,白色,,西门子,洗衣机,,一个型号就对应一个颜色，没有其他颜色的哦。,,,,silicon_valley
怎么联系安装师傅,师傅,,西门子,洗衣机,,4008899999西门子售后的呢,,,,silicon_valley
你们是西门子 不是博世嘛,博世,,西门子,洗衣机,,一家的哦,,,,silicon_valley
有超薄款吗,Other,,西门子,洗衣机,,6.5公斤的可以吗,,,,silicon_valley
是dd电机吗,dd电机,,西门子,洗衣机,,BLDC电机,,,,silicon_valley
拆机是自己拆 还是送货的人拆 还是售后上门拆,验收送货,,西门子,洗衣机,,一般货到之后，您可以检查外包装是否完整，如果有拆封痕迹，您可以拒绝收货的，收货之后，您要和送货师傅开箱验机，检查机器外观是否完好即可,,,,silicon_valley
收到货自己不能打开验收吗,到货,,西门子,洗衣机,,一般货到之后，您可以跟物流师傅开箱验货看下外观的哦，不通电的哈,,,,silicon_valley
到货 几天可以安排安装,到货安排,,西门子,洗衣机,,一般知道预计到货时间，就可以预约安装时间了哦#E-s57,,,,silicon_valley
我现在还不卖 到时候会不会选的尺寸断货呢,选尺寸,,西门子,洗衣机,,一般是不会的呢,,,,silicon_valley
就是说要买一个水龙头就行了 对吧,买水龙头,,西门子,洗衣机,,一般是的哦,,,,silicon_valley
转数越高越好吗,转数越高越好,,西门子,洗衣机,,一般转速越高脱水效果越好的呢,,,,silicon_valley
拍了多久发货,发货,,西门子,洗衣机,,下单之后京东都是会尽快安排发货,,,,silicon_valley
明天能送货吗,到货,,西门子,洗衣机,,一般都是次日达的哦,,,,silicon_valley
售后怎么样,售后,,西门子,洗衣机,,上门安装和维修,,,,silicon_valley
有发票的吧,发票,,西门子,洗衣机,,下单时选择“普通发票（纸质）”自助开取，此发票可用作单位报销凭证，一个订单对应一张或多张发票，发票会随每次包裹一同发出,,,,silicon_valley
今天买 明天发货吗,送到,,西门子,洗衣机,,下单会有预计的配送时间哦，具体以物流信息为准的,,,,silicon_valley
几天到货,送到,,西门子,洗衣机,,下单会有预计的配送时间哦，具体以物流信息为准的,,,,silicon_valley
包安装吗,安装费用,,西门子,洗衣机,,下单时选择安装日期，厂家会直接上门，如果选不了，请拔打厂家4008899999（西门子）/4008855888（博世）预约安装,,,,silicon_valley
会不会有影响啊,洗衣机寿命,,西门子,洗衣机,,不会,,,,silicon_valley
开门没有问题嘛 会不会影响开门 打不开,洗衣机寿命,,西门子,洗衣机,,不会,,,,silicon_valley
有洗碗粉送吗,洗碗粉,,西门子,洗衣机,,下单之后联系售后400 88 99999售后给您赠送洗涤试用装的哦,,,,silicon_valley
现在下单什么时候送货,拍到货,,西门子,洗衣机,,下单填写好地址 有预计到货时间的,,,,silicon_valley
保修几年,发货预约,,西门子,洗衣机,,下单页面可以自己选择发货时间的亲,,,,silicon_valley
房子还在装修,发货,,西门子,洗衣机,,下单之后联系京东延迟送货呢,,,,silicon_valley
不会影响散热吗,烘干,,西门子,洗衣机,,不会呢,,,,silicon_valley
谢谢了店家,谢谢店家,,西门子,洗衣机,,不客气的呢#E-s31#E-s31#E-s31,,,,silicon_valley
好嘞,谢谢店家,,西门子,洗衣机,,不客气的呢#E-s31#E-s31#E-s31,,,,silicon_valley
安装了是你们送货的时候安装还是,安装,,西门子,洗衣机,,不是的，送货和安装是分开的。,,,,silicon_valley
插座在烤箱上面的柜子后面可以吗,插座烤箱,,西门子,洗衣机,,不建议哦,,,,silicon_valley
不会另收取什么别的费用吧,费用,,西门子,洗衣机,,不会的呢 亲,,,,silicon_valley
可以洗果蔬吗,插在插排,,西门子,洗衣机,,不建议的哦,,,,silicon_valley
那么不影响安装了,影响安装,,西门子,洗衣机,,不影响呢,,,,silicon_valley
不能洗羽绒服吗,Other,,西门子,洗衣机,,不支持的,,,,silicon_valley
不影响是吧,影响,,西门子,洗衣机,,不影响的呢,,,,silicon_valley
噪音大吗,噪音,,西门子,洗衣机,,不大呢，亲,,,,silicon_valley
需要接水管吗,安装费用,,西门子,洗衣机,,不用的哦,,,,silicon_valley
洗衣机需要另外收安装费吗,安装费用,,西门子,洗衣机,,不用的哦,,,,silicon_valley
我知道是正品 但是是不是都是旧款,知道正品,,西门子,洗衣机,,不是的呢 亲,,,,silicon_valley
你们每一款都带时间吗,时间,,西门子,洗衣机,,不用担心的,,,,silicon_valley
不需要额外加费用吧,需要额,,西门子,洗衣机,,不需要的哈,,,,silicon_valley
什么时候会补货,补货,,西门子,洗衣机,,不确定的哦,,,,silicon_valley
需要插水管不,需要插,,西门子,洗衣机,,不用的哦，亲亲,,,,silicon_valley
普通洗洁精不行,洗衣机干衣机,,西门子,洗衣机,,不行哦,,,,silicon_valley
需要接给水管吗,需要接,,西门子,洗衣机,,不需要呢,,,,silicon_valley
需要安装吗,需要进水,,西门子,洗衣机,,不需要,,,,silicon_valley
中途停止添加衣服可以吗,停止添加,,西门子,洗衣机,,中途加衣：滚筒内水位：水位不得超过洗涤水位，羊毛程序或所有程序的漂洗过程无法实现开门（水位过高）；滚筒内水温：水温不得超过60度，需要等待水温降低后，才可开门；滚筒的转速：需要等待内筒停止转动后，才可开门。,,,,silicon_valley
可以洗衣中途添加衣服吗,停止添加,,西门子,洗衣机,,中途加衣：滚筒内水位：水位不得超过洗涤水位，羊毛程序或所有程序的漂洗过程无法实现开门（水位过高）；滚筒内水温：水温不得超过60度，需要等待水温降低后，才可开门；滚筒的转速：需要等待内筒停止转动后，才可开门。,,,,silicon_valley
可以就是中途我还想放衣服可以吗,停止添加,,西门子,洗衣机,,中途加衣：滚筒内水位：水位不得超过洗涤水位，羊毛程序或所有程序的漂洗过程无法实现开门（水位过高）；滚筒内水温：水温不得超过60度，需要等待水温降低后，才可开门；滚筒的转速：需要等待内筒停止转动后，才可开门。,,,,silicon_valley
洗的中间可以加衣服吗,停止添加,,西门子,洗衣机,,中途加衣：滚筒内水位：水位不得超过洗涤水位，羊毛程序或所有程序的漂洗过程无法实现开门（水位过高）；滚筒内水温：水温不得超过60度，需要等待水温降低后，才可开门；滚筒的转速：需要等待内筒停止转动后，才可开门。,,,,silicon_valley
还有我之前洗衣服可以中途暂停添衣服现在怎么不行了门都打不开,停止添加,,西门子,洗衣机,,中途加衣：滚筒内水位：水位不得超过洗涤水位，羊毛程序或所有程序的漂洗过程无法实现开门（水位过高）；滚筒内水温：水温不得超过60度，需要等待水温降低后，才可开门；滚筒的转速：需要等待内筒停止转动后，才可开门。,,,,silicon_valley
送货上门包安装吗,安装费用,,西门子,洗衣机,,两门，三门冰箱不需要安装的哦我们的冰箱在出厂时都已经调试好，送到家后静置30分钟您就可以通电使用了。,,,,silicon_valley
怎么联系,联系,,西门子,洗衣机,,京东在线客服https://help.jd.com/user/index.html，或者拨打京东24小时服务热线400-606-5500,,,,silicon_valley
可以洗羽绒服吗,Other,,西门子,洗衣机,,也要看您的羽绒服支不支持机洗的哦,,,,silicon_valley
是京东配送还是你们送,送货西门子,,西门子,洗衣机,,京东哦,,,,silicon_valley
送货是你们还是京东的,送货京东,,西门子,洗衣机,,京东,,,,silicon_valley
是几级能效,级能效,,西门子,洗衣机,,二级的,,,,silicon_valley
要找谁,Other,,西门子,洗衣机,,京东客服哦,,,,silicon_valley
西门子呢,西门子,,西门子,洗衣机,,也是一样的,,,,silicon_valley
看到评价有到货就要维修,政策卡看看,,西门子,洗衣机,,京东承诺30天内保价，30天内产品出现质量问题可退货，180天内产品出现质量问题可换货，超过180天按国家三包规定享受服务。,,,,silicon_valley
又不是实体店买的毕竟是网上假如用了几个月坏了呢,政策卡看看,,西门子,洗衣机,,京东承诺30天内保价，30天内产品出现质量问题可退货，180天内产品出现质量问题可换货，超过180天按国家三包规定享受服务。,,,,silicon_valley
洗衣机多长时间保换,政策卡看看,,西门子,洗衣机,,京东承诺30天内保价，30天内产品出现质量问题可退货，180天内产品出现质量问题可换货，超过180天按国家三包规定享受服务。,,,,silicon_valley
京东的客服怎么联系,客服,,西门子,洗衣机,,京东家电已开通专属服务平台，诚邀您关注微信公众号“京东家电小秘书”，点击页面底部菜单选项“一点无忧”，召唤人工客服，价保/安装/发票/物流/到货/家电活动/产品售后.......问题一键咨询， 体验便捷一站式专业服务，畅享极致客服体验。祝您购物愉快！,,,,silicon_valley
地址写错了,地址写错,,西门子,洗衣机,,亲 送货时间和地址我们厂家客服没有修改的权限的哦亲可以联系京东客服看下能否给您修改 如果京东客服也无法修改的话只能取消订单重新下单了呢亲  重新下单的建议您在提交订单的上面写好送货地址和选择好配送时间的哦,,,,silicon_valley
压缩机保修十年是保修卡就可以是吧,保修,,西门子,洗衣机,,京东的压缩机保修10年和厂家的压缩机3年保修都是从购买后开始算，是重合了3年，3年内找厂家，3年后找京东哦~,,,,silicon_valley
如果有质量问题怎么办,问题退换,,西门子,洗衣机,,京东承诺您：30天内产品出现质量问题可退货，180天内产品出现质量问题可换货，超过180天按国家三包规定享受服务。,,,,silicon_valley
怎么退差价,差价,,西门子,洗衣机,,京东支持30天价保的呢，如果您买的机器降价了，符合价保规则的，可以联系京东客服申请价保哦,,,,silicon_valley
送货上楼吗,送货,,西门子,洗衣机,,京东物流给您免费送货入户，没有楼层限制。,,,,silicon_valley
你们是厂家自营的吗,厂家自营,,西门子,洗衣机,,京东自营,,,,silicon_valley
用哪种洗涤剂呢,用洗涤剂,,西门子,洗衣机,,亮碟牌子的,,,,silicon_valley
我家里水管是四分管能用吗,明白专用水龙头,,西门子,洗衣机,,亲，洗衣机安装需要准备一个水龙头，出水口带三圈以上外螺纹六分口径的，您可以在建材市场或超市购买，也可以在技术员处直接购买。机器自带1.2米左右的进排水管，如果需要加长管也可以在技术员处购买。,,,,silicon_valley
请问进水管实用什么型号的,明白专用水龙头,,西门子,洗衣机,,亲，洗衣机安装需要准备一个水龙头，出水口带三圈以上外螺纹六分口径的，您可以在建材市场或超市购买，也可以在技术员处直接购买。机器自带1.2米左右的进排水管，如果需要加长管也可以在技术员处购买。,,,,silicon_valley
亲上门安装不会收其它费用吧,明白专用水龙头,,西门子,洗衣机,,亲，洗衣机安装需要准备一个水龙头，出水口带三圈以上外螺纹六分口径的，您可以在建材市场或超市购买，也可以在技术员处直接购买。机器自带1.2米左右的进排水管，如果需要加长管也可以在技术员处购买。,,,,silicon_valley
我想问一下洗衣机进水管哪里我安装什么样的水龙头,明白专用水龙头,,西门子,洗衣机,,亲，洗衣机安装需要准备一个水龙头，出水口带三圈以上外螺纹六分口径的，您可以在建材市场或超市购买，也可以在技术员处直接购买。机器自带1.2米左右的进排水管，如果需要加长管也可以在技术员处购买。,,,,silicon_valley
你能有专门的水龙头吗,明白专用水龙头,,西门子,洗衣机,,亲，洗衣机安装需要准备一个水龙头，出水口带三圈以上外螺纹六分口径的，您可以在建材市场或超市购买，也可以在技术员处直接购买。机器自带1.2米左右的进排水管，如果需要加长管也可以在技术员处购买。,,,,silicon_valley
把水龙头送一个撒,明白专用水龙头,,西门子,洗衣机,,亲，洗衣机安装需要准备一个水龙头，出水口带三圈以上外螺纹六分口径的，您可以在建材市场或超市购买，也可以在技术员处直接购买。机器自带1.2米左右的进排水管，如果需要加长管也可以在技术员处购买。,,,,silicon_valley
水阀什么型号合适,明白专用水龙头,,西门子,洗衣机,,亲，洗衣机安装需要准备一个水龙头，出水口带三圈以上外螺纹六分口径的，您可以在建材市场或超市购买，也可以在技术员处直接购买。机器自带1.2米左右的进排水管，如果需要加长管也可以在技术员处购买。,,,,silicon_valley
水龙头一定要安装师傅那里购买吗,明白专用水龙头,,西门子,洗衣机,,亲，洗衣机安装需要准备一个水龙头，出水口带三圈以上外螺纹六分口径的，您可以在建材市场或超市购买，也可以在技术员处直接购买。机器自带1.2米左右的进排水管，如果需要加长管也可以在技术员处购买。,,,,silicon_valley
